2020-12-07 18:51:36.734210,['IDT002'],[20.51]
2020-12-07 18:51:36.973577,"['IDT002', 'IDL001']","[20.51, 967.0]"
2020-12-07 18:51:37.245063,"['IDT002', 'IDL001']","[20.51, 967.0]"
2020-12-07 18:51:37.484678,"['IDT002', 'IDL001']","[20.51, 979.0]"
2020-12-07 18:51:37.756165,"['IDT002', 'IDL001']","[20.51, 979.0]"
2020-12-07 18:51:37.995963,"['IDT002', 'IDL001']","[20.51, 1004.0]"
2020-12-07 18:51:38.251284,"['IDT002', 'IDL001']","[20.51, 1004.0]"
2020-12-07 18:51:38.507194,"['IDT002', 'IDL001']","[20.51, 972.0]"
2020-12-07 18:51:38.762402,"['IDT002', 'IDL001']","[20.51, 972.0]"
2020-12-07 18:51:39.018545,"['IDT002', 'IDL001']","[20.51, 974.0]"
2020-12-07 18:51:39.273719,"['IDT002', 'IDL001']","[20.51, 974.0]"
2020-12-07 18:51:39.529263,"['IDT002', 'IDL001']","[20.51, 979.0]"
2020-12-07 18:51:39.785361,"['IDT002', 'IDL001']","[20.51, 979.0]"
2020-12-07 18:51:40.025024,"['IDT002', 'IDL001']","[20.51, 976.0]"
2020-12-07 18:51:40.280636,"['IDT002', 'IDL001']","[20.51, 976.0]"
2020-12-07 18:51:40.536160,"['IDT002', 'IDL001']","[20.51, 973.0]"
2020-12-07 18:51:40.791832,"['IDT002', 'IDL001']","[20.51, 973.0]"
2020-12-07 18:51:41.047299,"['IDT002', 'IDL001']","[20.51, 971.0]"
2020-12-07 18:51:41.302990,"['IDT002', 'IDL001']","[20.51, 971.0]"
2020-12-07 18:51:41.558758,"['IDT002', 'IDL001']","[20.51, 984.0]"
2020-12-07 18:51:41.798244,"['IDT002', 'IDL001']","[20.51, 984.0]"
2020-12-07 18:51:42.070102,"['IDT002', 'IDL001']","[20.51, 1004.0]"
2020-12-07 18:51:42.309716,"['IDT002', 'IDL001']","[20.51, 1004.0]"
2020-12-07 18:51:42.565205,"['IDT002', 'IDL001']","[20.51, 972.0]"
2020-12-07 18:51:43.076496,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.705747,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.706639,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.708624,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.710192,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.711110,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.712317,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.714051,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.714769,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.715540,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.716198,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.717050,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.717758,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.718732,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.719489,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.720085,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.720918,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.721634,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.722146,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.723054,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.723700,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.724372,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.725240,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.725962,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.726980,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.727815,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.728479,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.729086,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.729694,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.730297,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.731020,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.731715,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.732565,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.733222,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.733813,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.734357,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.735038,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.736083,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.736749,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.737848,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.738495,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.739282,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.740105,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.740862,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.741480,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.742475,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.743259,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.743886,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.744500,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.745106,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.745973,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.746832,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.750800,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.751894,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.752664,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.753578,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.754428,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.755396,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.756314,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.756973,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.757827,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.758764,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.763377,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.766206,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.767706,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.769066,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.769785,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.770403,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.771156,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.772030,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.772615,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.773448,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.774219,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.775035,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.775949,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.776790,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.777699,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.778780,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.779859,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.780549,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.781138,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.782110,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.782869,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.783652,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.784448,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.785288,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.786299,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.787080,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.787727,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.788746,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.789372,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.790464,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.791039,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.791615,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.792187,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.793172,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.796806,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.798073,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.799270,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.800173,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.800952,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.801842,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.802554,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.803210,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.803767,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.804495,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.805236,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.805967,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.806629,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.807211,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.807826,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.808443,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.809023,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.809930,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.814262,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.815900,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.817250,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.818420,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.819123,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.819659,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.820183,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.820727,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.821391,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.821874,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.822438,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.822973,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.823429,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.823987,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.824529,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.825222,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.825781,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.826361,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.826860,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.827567,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.828237,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.828822,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.829315,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.829836,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.830395,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.831004,"['IDT002', 'IDL001']","[20.51, 968.0]"
