2020-12-10 14:22:17.586497,['IDT002'],0,[23.61]
2020-12-10 14:22:17.618330,"['IDT002', 'IDT001']",1,"[23.61, 23.25]"
2020-12-10 14:22:18.001964,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:18.097600,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:18.609130,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:18.657092,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:19.104722,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:19.184550,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:19.615936,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:19.727766,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:20.127311,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:20.255039,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:20.622645,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:20.686856,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:20.782804,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:21.133928,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:21.309822,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:21.645485,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:21.853068,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:22.141404,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:22.380308,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:22.652299,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:22.907971,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:23.163593,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:23.435434,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:23.674865,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:23.978771,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:24.170470,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:24.506040,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:24.681841,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:24.969506,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:25.033685,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:25.193435,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:25.560882,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:25.689014,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:26.088195,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:26.200101,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:26.615607,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:26.711424,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:27.142867,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:27.222835,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:27.686140,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:27.718182,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:28.229402,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:28.245466,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:28.261723,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:28.277442,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:28.740820,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 950.0]"
2020-12-10 14:22:28.756733,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 950.0]"
2020-12-10 14:22:28.772839,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:28.804683,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:29.236492,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 972.0]"
2020-12-10 14:22:29.268444,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 942.0]"
2020-12-10 14:22:29.747747,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 942.0]"
2020-12-10 14:22:29.795473,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 1004.0]"
2020-12-10 14:22:29.811441,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 1004.0]"
2020-12-10 14:22:30.322515,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 1004.0]"
2020-12-10 14:22:30.849958,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 1004.0]"
2020-12-10 14:22:31.329567,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:31.840748,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 1004.0]"
2020-12-10 14:22:32.352106,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:32.863533,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:33.358823,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:33.870193,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:34.381791,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:34.557718,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:34.621615,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:34.877198,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:35.068990,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 944.0]"
2020-12-10 14:22:35.149060,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 960.0]"
2020-12-10 14:22:35.388811,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 960.0]"
2020-12-10 14:22:35.900109,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 960.0]"
2020-12-10 14:22:36.411382,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 960.0]"
2020-12-10 14:22:36.778843,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:36.906610,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1004.0]"
2020-12-10 14:22:37.306178,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 972.0]"
