2020-12-10 14:34:44.367835,['IDL001'],[True],[950.0]
2020-12-10 14:34:44.415702,"['IDL001', 'IDT002']","[True, True]","[950.0, 23.8]"
2020-12-10 14:34:44.879310,"['IDL001', 'IDT002']","[True, True]","[981.0, 23.8]"
2020-12-10 14:34:44.911322,"['IDL001', 'IDT002']","[True, True]","[981.0, 23.8]"
2020-12-10 14:34:45.390878,"['IDL001', 'IDT002']","[True, True]","[976.0, 23.8]"
2020-12-10 14:34:45.422437,"['IDL001', 'IDT002']","[True, True]","[976.0, 23.8]"
2020-12-10 14:34:45.901750,"['IDL001', 'IDT002']","[True, True]","[980.0, 23.8]"
2020-12-10 14:34:45.933971,"['IDL001', 'IDT002']","[True, True]","[980.0, 23.8]"
2020-12-10 14:34:46.429315,"['IDL001', 'IDT002']","[True, True]","[980.0, 23.8]"
2020-12-10 14:34:46.445080,"['IDL001', 'IDT002']","[True, True]","[980.0, 23.8]"
2020-12-10 14:34:46.924557,"['IDL001', 'IDT002']","[True, True]","[974.0, 23.8]"
2020-12-10 14:34:46.956186,"['IDL001', 'IDT002']","[True, True]","[974.0, 23.8]"
2020-12-10 14:34:47.435580,"['IDL001', 'IDT002']","[True, True]","[935.0, 23.8]"
2020-12-10 14:34:47.483509,"['IDL001', 'IDT002']","[True, True]","[935.0, 23.8]"
2020-12-10 14:34:47.787219,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[935.0, 23.8, 23.53]"
2020-12-10 14:34:47.978689,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
2020-12-10 14:34:47.994632,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
2020-12-10 14:34:48.314190,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
2020-12-10 14:34:48.490017,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[977.0, 23.8, 23.53]"
2020-12-10 14:34:48.505868,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[977.0, 23.8, 23.53]"
2020-12-10 14:34:48.841407,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[977.0, 23.8, 23.44]"
2020-12-10 14:34:49.001251,"['IDL001', 'IDT002', 'IDT001']","[True, False, False]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:49.033205,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:49.528581,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:50.039945,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:50.551181,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:50.615170,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:51.046467,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[972.0, 23.8, 23.44]"
2020-12-10 14:34:51.110442,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.44]"
2020-12-10 14:34:51.557753,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.44]"
2020-12-10 14:34:51.637611,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[931.0, 23.8, 23.44]"
2020-12-10 14:34:52.069251,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[931.0, 23.8, 23.44]"
2020-12-10 14:34:52.148967,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[992.0, 23.8, 23.44]"
2020-12-10 14:34:52.580346,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[992.0, 23.8, 23.44]"
2020-12-10 14:34:52.660275,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[962.0, 23.8, 23.44]"
2020-12-10 14:34:53.091485,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[962.0, 23.8, 23.44]"
2020-12-10 14:34:53.171430,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[956.0, 23.8, 23.44]"
2020-12-10 14:34:53.586893,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[956.0, 23.8, 23.44]"
2020-12-10 14:34:53.682682,"['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[964.0, 23.8, 23.44]"
2020-12-10 14:34:54.098228,"['IDL001', 'IDT002', 'IDT001']","[False, True, False]","[964.0, 23.8, 23.44]"
2020-12-10 14:34:54.209883,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[1006.0, 23.8, 23.44]"
2020-12-10 14:34:54.609369,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[1006.0, 23.8, 23.44]"
2020-12-10 14:34:54.721360,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[956.0, 23.8, 23.44]"
2020-12-10 14:34:55.120700,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[956.0, 23.8, 23.44]"
2020-12-10 14:34:55.232310,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[971.0, 23.8, 23.44]"
2020-12-10 14:34:55.631735,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[971.0, 23.8, 23.44]"
2020-12-10 14:34:55.775559,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[965.0, 23.8, 23.44]"
2020-12-10 14:34:56.126968,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[965.0, 23.8, 23.44]"
2020-12-10 14:34:56.318757,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[967.0, 23.8, 23.44]"
2020-12-10 14:34:56.638206,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[967.0, 23.8, 23.44]"
2020-12-10 14:34:56.845866,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, 23.44]"
2020-12-10 14:34:57.149364,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, 23.44]"
2020-12-10 14:34:57.372896,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[968.0, 23.8, 23.44]"
2020-12-10 14:34:57.660586,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[968.0, 23.8, 23.44]"
2020-12-10 14:34:57.900315,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[936.0, 23.8, 23.44]"
2020-12-10 14:34:58.171903,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[936.0, 23.8, 23.44]"
2020-12-10 14:34:58.411460,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[952.0, 23.8, 23.44]"
2020-12-10 14:34:58.682965,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[952.0, 23.8, 23.44]"
2020-12-10 14:34:58.938599,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[934.0, 23.8, 23.44]"
2020-12-10 14:34:59.194280,"['IDL001', 'IDT002', 'IDT001']","[False, True, False]","[934.0, 23.8, -1000]"
2020-12-10 14:34:59.465702,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[989.0, 23.8, -1000]"
2020-12-10 14:34:59.705398,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[989.0, 23.8, -1000]"
2020-12-10 14:34:59.976954,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[930.0, 23.8, -1000]"
2020-12-10 14:35:00.200679,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[930.0, 23.8, -1000]"
2020-12-10 14:35:00.488318,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[956.0, 23.8, -1000]"
2020-12-10 14:35:00.712018,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[956.0, 23.8, -1000]"
2020-12-10 14:35:01.015541,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[970.0, 23.8, -1000]"
2020-12-10 14:35:01.223264,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[970.0, 23.8, -1000]"
2020-12-10 14:35:01.558743,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, -1000]"
2020-12-10 14:35:01.734690,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, -1000]"
2020-12-10 14:35:02.086279,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, -1000]"
2020-12-10 14:35:02.261949,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, -1000]"
2020-12-10 14:35:02.645468,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[933.0, 23.8, -1000]"
2020-12-10 14:35:02.757381,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[933.0, 23.8, -1000]"
2020-12-10 14:35:03.172618,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[935.0, 23.8, -1000]"
2020-12-10 14:35:03.268925,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[935.0, 23.8, -1000]"
2020-12-10 14:35:03.779600,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[935.0, 23.7, -1000]"
2020-12-10 14:35:04.258935,"['IDL001', 'IDT002', 'IDT001']","[True, False, False]","[960.0, 23.7, -1000]"
2020-12-10 14:35:04.290846,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[960.0, 23.8, -1000]"
2020-12-10 14:35:04.785927,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[959.0, 23.8, -1000]"
2020-12-10 14:35:04.802045,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[959.0, 23.8, -1000]"
2020-12-10 14:35:04.817974,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[959.0, 23.8, -1000]"
2020-12-10 14:35:05.313265,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[959.0, 23.8, -1000]"
2020-12-10 14:35:05.329187,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[926.0, 23.8, -1000]"
2020-12-10 14:35:05.808727,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[926.0, 23.8, -1000]"
2020-12-10 14:35:05.856580,"['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[924.0, 23.8, -1000]"
