"[datetime.datetime(2020, 12, 10, 15, 59, 37, 768650)]",['IDT002'],[True],[23.52]
"[datetime.datetime(2020, 12, 10, 15, 59, 37, 800586)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 38, 312435)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 38, 328818)]","['IDT002', 'IDL001']","[True, True]","[23.52, 990.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 38, 344130)]","['IDT002', 'IDL001']","[True, True]","[23.52, 990.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 38, 808180)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 38, 839873)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 39, 320340)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 39, 367480)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 39, 831711)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1002.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 39, 911227)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1002.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 40, 343082)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 40, 439095)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 40, 854345)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1005.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 40, 981904)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1005.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 41, 365698)]","['IDT002', 'IDL001']","[True, True]","[23.52, 997.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 41, 494171)]","['IDT002', 'IDL001']","[True, True]","[23.52, 997.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 41, 861599)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 42, 20977)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 42, 373515)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 42, 564712)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 42, 884822)]","['IDT002', 'IDL001']","[False, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 43, 107681)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1001.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 43, 395597)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1003.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 43, 618874)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1003.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 43, 906904)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 44, 162486)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 44, 402847)]","['IDT002', 'IDL001']","[True, True]","[23.52, 999.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 44, 707062)]","['IDT002', 'IDL001']","[True, True]","[23.52, 999.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 44, 914075)]","['IDT002', 'IDL001']","[True, True]","[23.52, 995.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 45, 233880)]","['IDT002', 'IDL001']","[True, True]","[23.52, 995.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 45, 426304)]","['IDT002', 'IDL001']","[True, True]","[23.52, 992.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 45, 761761)]","['IDT002', 'IDL001']","[True, True]","[23.52, 992.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 45, 937465)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 46, 304198)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 46, 432503)]","['IDT002', 'IDL001']","[True, True]","[23.52, 994.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 46, 848864)]","['IDT002', 'IDL001']","[True, True]","[23.52, 994.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 46, 943943)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 47, 375031)]","['IDT002', 'IDL001']","[True, True]","[23.43, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 47, 454982)]","['IDT002', 'IDL001']","[True, True]","[23.43, 990.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 47, 919337)]","['IDT002', 'IDL001']","[True, False]","[23.52, 990.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 47, 966667)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1002.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 48, 446268)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1002.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 48, 478042)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 48, 494032)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 48, 974660)]","['IDT002', 'IDL001']","[True, True]","[23.52, 997.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 48, 990600)]","['IDT002', 'IDL001']","[True, True]","[23.52, 997.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 49, 486026)]","['IDT002', 'IDL001']","[True, True]","[23.52, 995.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 49, 517972)]","['IDT002', 'IDL001']","[True, True]","[23.52, 995.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 49, 996417)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1003.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 50, 60390)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1003.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 50, 508805)]","['IDT002', 'IDL001']","[True, True]","[23.52, 989.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 50, 603690)]","['IDT002', 'IDL001']","[True, True]","[23.52, 989.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 51, 19849)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 51, 132360)]","['IDT002', 'IDL001']","[True, True]","[23.52, 998.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 51, 515997)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 51, 659571)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 52, 26368)]","['IDT002', 'IDL001']","[True, True]","[23.52, 993.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 52, 187123)]","['IDT002', 'IDL001']","[True, True]","[23.52, 993.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 52, 538483)]","['IDT002', 'IDL001']","[True, True]","[23.52, 988.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 52, 730524)]","['IDT002', 'IDL001']","[True, True]","[23.52, 988.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 53, 49679)]","['IDT002', 'IDL001']","[False, True]","[23.52, 991.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 53, 257179)]","['IDT002', 'IDL001']","[True, True]","[23.52, 991.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 53, 545775)]","['IDT002', 'IDL001']","[True, True]","[23.52, 987.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 53, 784124)]","['IDT002', 'IDL001']","[True, True]","[23.52, 987.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 54, 55957)]","['IDT002', 'IDL001']","[True, True]","[23.52, 990.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 54, 295635)]","['IDT002', 'IDL001']","[True, True]","[23.52, 990.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 54, 567410)]","['IDT002', 'IDL001']","[True, True]","[23.52, 987.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 54, 839243)]","['IDT002', 'IDL001']","[True, True]","[23.52, 987.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 55, 79000)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1000.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 55, 350596)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1000.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 55, 574229)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 55, 861980)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 56, 85745)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1004.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 56, 373324)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1004.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 56, 597051)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 56, 884934)]","['IDT002', 'IDL001']","[True, True]","[23.52, 986.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 57, 108771)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1004.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 57, 397459)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1004.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 57, 621324)]","['IDT002', 'IDL001']","[True, True]","[23.52, 988.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 57, 908937)]","['IDT002', 'IDL001']","[True, True]","[23.52, 988.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 58, 116475)]","['IDT002', 'IDL001']","[False, True]","[23.52, 1007.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 58, 420365)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1007.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 58, 628455)]","['IDT002', 'IDL001']","[True, True]","[23.52, 984.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 58, 916065)]","['IDT002', 'IDL001']","[True, True]","[23.52, 984.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 59, 139697)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1008.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 59, 427664)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1008.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 59, 651458)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1008.0]"
"[datetime.datetime(2020, 12, 10, 15, 59, 59, 938971)]","['IDT002', 'IDL001']","[True, True]","[23.43, 1008.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 0, 162381)]","['IDT002', 'IDL001']","[True, True]","[23.43, 986.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 0, 466539)]","['IDT002', 'IDL001']","[True, True]","[23.43, 986.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 0, 658253)]","['IDT002', 'IDL001']","[True, True]","[23.43, 1008.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 0, 977263)]","['IDT002', 'IDL001']","[True, True]","[23.52, 1008.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 1, 169360)]","['IDT002', 'IDL001']","[True, True]","[23.52, 990.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 1, 489212)]","['IDT002', 'IDL001']","[True, True]","[23.43, 990.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 1, 680910)]","['IDT002', 'IDL001']","[True, True]","[23.43, 1004.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 2, 588)]","['IDT002', 'IDL001']","[True, True]","[23.43, 1004.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 2, 192251)]","['IDT002', 'IDL001']","[True, True]","[23.43, 997.0]"
