"[datetime.datetime(2020, 12, 14, 12, 8, 24, 455607)]",['IDL002'],[True],[1004.0]
"[datetime.datetime(2020, 12, 14, 12, 8, 24, 550295)]","['IDL002', 'IDL003']","[True, True]","[1004.0, 1014.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 24, 966895)]","['IDL002', 'IDL003']","[True, True]","[896.0, 1014.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 25, 46491)]","['IDL002', 'IDL003']","[True, True]","[896.0, 1013.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 25, 462867)]","['IDL002', 'IDL003']","[True, True]","[896.0, 1013.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 25, 542476)]","['IDL002', 'IDL003']","[True, True]","[896.0, 1015.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 25, 975143)]","['IDL002', 'IDL003']","[True, True]","[893.0, 1015.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 26, 38781)]","['IDL002', 'IDL003']","[True, True]","[893.0, 1015.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 26, 487378)]","['IDL002', 'IDL003']","[True, True]","[894.0, 1015.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 26, 534781)]","['IDL002', 'IDL003']","[True, True]","[894.0, 1016.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 26, 998640)]","['IDL002', 'IDL003']","[True, True]","[1004.0, 1016.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 27, 30847)]","['IDL002', 'IDL003']","[True, True]","[1004.0, 1015.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 27, 495607)]","['IDL002', 'IDL003']","[True, True]","[888.0, 1015.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 27, 527515)]","['IDL002', 'IDL003']","[True, True]","[888.0, 1016.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 28, 7740)]","['IDL002', 'IDL003']","[True, True]","[895.0, 1016.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 28, 23291)]","['IDL002', 'IDL003']","[True, True]","[895.0, 1016.0]"
"[datetime.datetime(2020, 12, 14, 12, 8, 28, 520259)]","['IDL002', 'IDL003']","[True, True]","[996.0, 1016.0]"
